index,service_week,service_year,service_yearmonth,service_date,betos_cd,betos_desc,pos_cd,pos_desc,spec_cd,spec_desc,paid_amount,utilization
43,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,90,Physician/Medical Oncology,2.94,1
44,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,81,Independent Laboratory,69,Clinical Laboratory,5.88,3
45,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1B,Lab tests - automated general profiles,11,Office,10,Physician/Gastroenterology,8.58,1
46,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1B,Lab tests - automated general profiles,11,Office,11,Physician/Internal Medicine,28.12,3
47,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1B,Lab tests - automated general profiles,11,Office,29,Physician/Pulmonary Disease,11.47,1
48,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1B,Lab tests - automated general profiles,11,Office,46,Physician/Endocrinology,8.07,1
49,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1B,Lab tests - automated general profiles,11,Office,66,Physician/Rheumatology,11.47,1
50,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1B,Lab tests - automated general profiles,11,Office,90,Physician/Medical Oncology,9.57,1
51,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1B,Lab tests - automated general profiles,81,Independent Laboratory,11,Physician/Internal Medicine,11.47,1
52,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1B,Lab tests - automated general profiles,81,Independent Laboratory,69,Clinical Laboratory,28.78,5
53,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1C,Lab tests - urinalysis,11,Office,08,Physician/Family Practice,3.43,1
54,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1C,Lab tests - urinalysis,11,Office,11,Physician/Internal Medicine,4.26,2
55,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1C,Lab tests - urinalysis,11,Office,34,Physician/Urology,25.56,6
56,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1C,Lab tests - urinalysis,11,Office,66,Physician/Rheumatology,4.26,1
57,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1C,Lab tests - urinalysis,81,Independent Laboratory,69,Clinical Laboratory,3.02,1
58,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1D,Lab tests - blood counts,11,Office,11,Physician/Internal Medicine,8.69,1
59,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1D,Lab tests - blood counts,11,Office,29,Physician/Pulmonary Disease,10.45,1
60,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1D,Lab tests - blood counts,11,Office,66,Physician/Rheumatology,10.45,1
61,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1D,Lab tests - blood counts,11,Office,90,Physician/Medical Oncology,10.45,1
62,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1D,Lab tests - blood counts,81,Independent Laboratory,11,Physician/Internal Medicine,8.69,1
63,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1D,Lab tests - blood counts,81,Independent Laboratory,69,Clinical Laboratory,20.9,3
64,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1E,Lab tests - glucose,11,Office,46,Physician/Endocrinology,9.68,4
65,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1F,Lab tests - bacterial cultures,81,Independent Laboratory,69,Clinical Laboratory,21.7,2
66,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,07,Physician/Dermatology,315.41,12
67,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,22,Physician/Pathology,99.19,5
68,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1G,Lab tests - other (Medicare fee schedule),21,Inpatient Hospital,22,Physician/Pathology,314.14,12
69,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1G,Lab tests - other (Medicare fee schedule),22,On Campus- Outpatient Hospital,22,Physician/Pathology,693.44,20
70,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1G,Lab tests - other (Medicare fee schedule),81,Independent Laboratory,69,Clinical Laboratory,96.19,27
71,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1G,Lab tests - other (Medicare fee schedule),81,Independent Laboratory,75,Slide Preparation Facility,80.27,3
72,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,11,Physician/Internal Medicine,106.65,5
73,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,29,Physician/Pulmonary Disease,20.45,2
74,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,34,Physician/Urology,148.38,6
75,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,46,Physician/Endocrinology,73.25,6
76,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,66,Physician/Rheumatology,37.03,3
77,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,90,Physician/Medical Oncology,4.63,1
78,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),81,Independent Laboratory,11,Physician/Internal Medicine,11.73,2
79,2017-01,2017,2017-01-01,2017-01-04 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),81,Independent Laboratory,69,Clinical Laboratory,459.03,33
80,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,03,Physician/Allergy/ Immunology,2.94,1
81,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,06,Physician/Cardiovascular Disease (Cardiology),5.88,2
82,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,11,Physician/Internal Medicine,5.88,2
83,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,29,Physician/Pulmonary Disease,2.94,1
84,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,34,Physician/Urology,5.88,2
85,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,44,Physician/Infectious Disease,2.94,1
86,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,46,Physician/Endocrinology,11.76,4
87,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,50,Nurse Practitioner,2.94,1
88,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,81,Physician/Critical Care (Intensivists),2.94,1
89,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,97,Physician Assistant,2.94,1
90,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,81,Independent Laboratory,69,Clinical Laboratory,2.94,1
91,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1B,Lab tests - automated general profiles,11,Office,46,Physician/Endocrinology,16.14,2
92,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1B,Lab tests - automated general profiles,11,Office,50,Nurse Practitioner,11.47,1
93,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1B,Lab tests - automated general profiles,11,Office,97,Physician Assistant,8.58,1
94,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1B,Lab tests - automated general profiles,81,Independent Laboratory,69,Clinical Laboratory,11.47,1
95,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1C,Lab tests - urinalysis,11,Office,08,Physician/Family Practice,3.43,1
96,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1C,Lab tests - urinalysis,11,Office,34,Physician/Urology,24.32,6
97,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1C,Lab tests - urinalysis,11,Office,97,Physician Assistant,3.43,1
98,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1C,Lab tests - urinalysis,19,Off Campus- Outpatient Hospital,08,Physician/Family Practice,0.0,1
99,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1D,Lab tests - blood counts,11,Office,11,Physician/Internal Medicine,10.45,1
100,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1D,Lab tests - blood counts,11,Office,29,Physician/Pulmonary Disease,13.63,2
101,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1D,Lab tests - blood counts,11,Office,44,Physician/Infectious Disease,10.45,1
102,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1D,Lab tests - blood counts,11,Office,46,Physician/Endocrinology,10.45,1
103,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1D,Lab tests - blood counts,11,Office,50,Nurse Practitioner,13.31,2
104,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1D,Lab tests - blood counts,11,Office,81,Physician/Critical Care (Intensivists),10.45,1
105,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1D,Lab tests - blood counts,11,Office,97,Physician Assistant,10.45,1
106,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1D,Lab tests - blood counts,81,Independent Laboratory,69,Clinical Laboratory,8.62,1
107,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1E,Lab tests - glucose,11,Office,46,Physician/Endocrinology,7.26,3
108,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,07,Physician/Dermatology,636.62,21
109,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,10,Physician/Gastroenterology,0.0,2
110,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,22,Physician/Pathology,135.7,9
111,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1G,Lab tests - other (Medicare fee schedule),22,On Campus- Outpatient Hospital,22,Physician/Pathology,274.01,8
112,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1G,Lab tests - other (Medicare fee schedule),81,Independent Laboratory,69,Clinical Laboratory,57.93,3
113,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1G,Lab tests - other (Medicare fee schedule),81,Independent Laboratory,75,Slide Preparation Facility,198.12,6
114,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,11,Physician/Internal Medicine,236.66,30
115,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,29,Physician/Pulmonary Disease,38.78,3
116,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,34,Physician/Urology,24.73,1
117,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,44,Physician/Infectious Disease,6.96,1
118,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,46,Physician/Endocrinology,154.2,13
119,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,50,Nurse Practitioner,44.06,4
120,2017-01,2017,2017-01-01,2017-01-05 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),81,Independent Laboratory,69,Clinical Laboratory,489.3,29
121,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,11,Physician/Internal Medicine,8.82,3
122,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,34,Physician/Urology,11.76,4
123,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,44,Physician/Infectious Disease,8.82,3
124,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,46,Physician/Endocrinology,5.88,2
125,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,90,Physician/Medical Oncology,0.29,1
126,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,20,Urgent Care Facility,08,Physician/Family Practice,2.94,1
127,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1B,Lab tests - automated general profiles,11,Office,11,Physician/Internal Medicine,22.94,2
128,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1B,Lab tests - automated general profiles,11,Office,44,Physician/Infectious Disease,11.47,1
129,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1B,Lab tests - automated general profiles,11,Office,46,Physician/Endocrinology,8.07,1
130,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1B,Lab tests - automated general profiles,11,Office,90,Physician/Medical Oncology,1.15,1
131,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1C,Lab tests - urinalysis,11,Office,08,Physician/Family Practice,10.29,3
132,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1C,Lab tests - urinalysis,11,Office,11,Physician/Internal Medicine,8.52,2
133,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1C,Lab tests - urinalysis,11,Office,34,Physician/Urology,12.78,3
134,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1C,Lab tests - urinalysis,11,Office,42,Certified Nurse Midwife,3.43,1
135,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1D,Lab tests - blood counts,11,Office,11,Physician/Internal Medicine,20.9,2
136,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1D,Lab tests - blood counts,11,Office,44,Physician/Infectious Disease,31.35,3
137,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1D,Lab tests - blood counts,11,Office,90,Physician/Medical Oncology,1.04,1
138,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1E,Lab tests - glucose,11,Office,46,Physician/Endocrinology,2.42,1
139,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,07,Physician/Dermatology,179.56,7
140,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,22,Physician/Pathology,66.12,2
141,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1G,Lab tests - other (Medicare fee schedule),22,On Campus- Outpatient Hospital,22,Physician/Pathology,33.07,1
142,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1G,Lab tests - other (Medicare fee schedule),81,Independent Laboratory,19,Oral Surgery (Dentist only),158.05,1
143,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1G,Lab tests - other (Medicare fee schedule),81,Independent Laboratory,75,Slide Preparation Facility,53.52,2
144,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,11,Physician/Internal Medicine,47.3,4
145,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,16,Physician/Obstetrics & Gynecology,9.61,3
146,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,34,Physician/Urology,98.92,4
147,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,44,Physician/Infectious Disease,13.92,2
148,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,46,Physician/Endocrinology,87.2,6
149,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),11,Office,90,Physician/Medical Oncology,10.94,6
150,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),20,Urgent Care Facility,97,Physician Assistant,16.11,1
151,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),22,On Campus- Outpatient Hospital,22,Physician/Pathology,29.2,2
152,2017-01,2017,2017-01-01,2017-01-06 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),81,Independent Laboratory,69,Clinical Laboratory,148.37,5
153,2017-01,2017,2017-01-01,2017-01-07 00:00:00,T1C,Lab tests - urinalysis,20,Urgent Care Facility,97,Physician Assistant,3.43,1
154,2017-01,2017,2017-01-01,2017-01-07 00:00:00,T1E,Lab tests - glucose,20,Urgent Care Facility,97,Physician Assistant,0.0,1
155,2017-01,2017,2017-01-01,2017-01-08 00:00:00,T1H,Lab tests - other (non-Medicare fee schedule),20,Urgent Care Facility,97,Physician Assistant,16.11,1
156,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,06,Physician/Cardiovascular Disease (Cardiology),2.94,1
157,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,34,Physician/Urology,2.94,1
158,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,44,Physician/Infectious Disease,2.94,1
159,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,46,Physician/Endocrinology,8.82,3
160,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,81,Physician/Critical Care (Intensivists),2.94,1
161,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,11,Office,97,Physician Assistant,2.94,1
162,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,12,Home,69,Clinical Laboratory,2.94,1
163,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1A,Lab tests - routine venipuncture (non Medicare fee schedu,81,Independent Laboratory,69,Clinical Laboratory,8.82,3
164,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1B,Lab tests - automated general profiles,11,Office,44,Physician/Infectious Disease,8.07,1
165,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1B,Lab tests - automated general profiles,11,Office,46,Physician/Endocrinology,29.17,3
166,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1B,Lab tests - automated general profiles,11,Office,97,Physician Assistant,8.07,1
167,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1B,Lab tests - automated general profiles,81,Independent Laboratory,69,Clinical Laboratory,38.6,4
168,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1C,Lab tests - urinalysis,11,Office,08,Physician/Family Practice,6.86,2
169,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1C,Lab tests - urinalysis,11,Office,11,Physician/Internal Medicine,7.69,2
170,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1C,Lab tests - urinalysis,11,Office,34,Physician/Urology,4.26,1
171,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1C,Lab tests - urinalysis,81,Independent Laboratory,69,Clinical Laboratory,4.26,1
172,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1D,Lab tests - blood counts,11,Office,44,Physician/Infectious Disease,10.45,1
173,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1D,Lab tests - blood counts,11,Office,81,Physician/Critical Care (Intensivists),3.18,1
174,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1D,Lab tests - blood counts,81,Independent Laboratory,69,Clinical Laboratory,31.35,3
175,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1E,Lab tests - glucose,11,Office,46,Physician/Endocrinology,7.26,3
176,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1F,Lab tests - bacterial cultures,81,Independent Laboratory,69,Clinical Laboratory,8.91,1
177,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,07,Physician/Dermatology,146.58,8
178,2017-02,2017,2017-01-01,2017-01-09 00:00:00,T1G,Lab tests - other (Medicare fee schedule),11,Office,22,Physician/Pathology,273.73,7
